name,gmap_id,latitude,longitude,stars,review_count,hours_Monday,hours_Tuesday,hours_Wednesday,hours_Thursday,hours_Friday,hours_Saturday,hours_Sunday,city,ZIP Code
T-N-T Pizza,0x883448ea2192b4fb:0x34e63556c8768355,40.3828916,-80.39259059999999,3.9,98,15:00–20:00,15:00–20:00,15:00–20:00,15:00–20:00,15:00–20:00,15:00–20:00,15:00–20:00,Burgettstown,15021
Mama Mia's Pizzeria,0x88328086a892d041:0x4094078a9ba1bbf6,42.089699599999996,-80.0982306,4.4,173,Closed,Closed,15:00–21:00,15:00–21:00,15:00–22:00,15:00–22:00,13:00–20:00,Erie,16508
Carmine's Pizzeria West Chester,0x89c6f162debe5555:0x72e9dcba49556270,39.9711535,-75.5870596,3.6,154,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,10:00–22:00,West Chester,19380
Bravo Pizza II,0x89c6b784f9dca0af:0x8de6d48f3500e73,40.0304119,-75.1456053,3.4,168,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–10:30PM,11AM–10:30PM,12:30–9:30PM,Philadelphia,19141
Fellini's Pizzeria Jefferson Hills,0x8834e52aa1f33957:0x1a2e805a594bf64c,40.3107146,-79.9367968,3.9,88,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,11:00–22:00,Jefferson Hills,15025
Little Nippers 2,0x8834f23acc0b8eab:0x9cfb2a39e522171f,40.450388,-79.950885,4.1,124,11AM–11:30PM,11AM–11:30PM,11AM–11:30PM,11AM–11:30PM,11AM–1:30AM,11AM–1:30AM,11AM–11:30PM,Pittsburgh,15213
"Pastoli's Pizza, Pasta & Paisans",0x8834f1ff173a8c4b:0x16eae65b36a0101c,40.4358863,-79.92301599999999,4.4,298,2:30–9:30PM,2:30–9:30PM,2:30–9:30PM,11:30AM–9:30PM,11:30AM–10:30PM,11:30AM–10:30PM,11:30AM–9:30PM,Pittsburgh,15217
Catty Pizza,0x89c438f3dc96b583:0x9fb76fc07d279484,40.654584,-75.47354,4.4,117,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,00:00–21:00,Catasauqua,18032
Real Pizza Narberth,0x89c6c0a5edff3bf1:0xb2ba2a99675877e4,40.0059944,-75.2603756,4.4,57,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–10PM,10:30AM–9PM,10:30AM–9PM,Narberth,19072
Franco's Italian Restaurant & Pizzeria,0x89c690b5124881eb:0xd96bf39e37516a51,40.176829999999995,-75.43653499999999,4.3,158,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Collegeville,19426
Michelangelos Italian Restaurant LLC,0x89c65ef880dd1e29:0x77a830da470dec4a,40.0365135,-75.76823879999999,4.2,218,10:30AM–9:30PM,10:30AM–9:30PM,10:30AM–9:30PM,10:30AM–9:30PM,10:30AM–10:30PM,11:00–22:00,11AM–9:30PM,Downingtown,19335
Bravo Pizza,0x89c6890a23bee1a3:0x3ea8269ed361d5e7,40.169126999999996,-75.66547299999999,4.0,95,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10:00–22:00,10:00–22:00,10AM–9:30PM,Pottstown,19465
PR's Bar-N-Grill,0x89c88dd614742c35:0xcd495d4cb66f90eb,39.997728599999995,-76.73505,4.2,157,11:00–02:00,11:00–02:00,07:00–02:00,07:00–02:00,07:00–02:00,07:00–02:00,12:00–02:00,York,17406
La Famiglia OIP,0x89cdfb57c096802f:0xe4ca6262b92535ee,41.774491,-78.020367,3.5,157,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,00:00–21:00,Closed,Coudersport,16915
Pizza Joe's,0x88335d62b296718f:0xbe8d53c3909f75d7,40.9465059,-79.7530213,4.5,104,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,00:00–20:00,Chicora,16025
City Pizza,0x89c6c8ac064b10e7:0xd549f00be2d4d5f0,39.9215082,-75.1485218,4.0,268,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–22:00,Philadelphia,19148
Sal's Pizza,0x89c69480f567c50b:0xfaf497aa87b88a3e,40.073634899999995,-75.4327842,4.2,118,10:30AM–9:30PM,10:30AM–9:30PM,10:30AM–9:30PM,10:30AM–9:30PM,10:30AM–9:30PM,11AM–9:30PM,11:00–21:00,Wayne,19087
Piazza Talarico and Papa Joe’s Wine Cellar,0x8834f24bbdc3e84d:0xc39ae5ea74007b78,40.4647091,-79.9602501,4.7,98,Closed,00:00–20:00,00:00–20:00,00:00–20:00,00:00–21:00,00:00–21:00,Closed,Pittsburgh,15201
CC's Cafe,0x8834ed614778920f:0x8809e33b301d3799,40.4935334,-79.91455119999999,4.6,108,Closed,16:00–22:00,16:00–22:00,16:00–22:00,16:00–22:00,17:00–22:00,Closed,Pittsburgh,15215
Kay's Italian Restaurant,0x89c4c7d5cccdd22b:0x4c1711fc56916000,41.454325,-75.3829902,4.4,184,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Lake Ariel,18436
Hometown Pizzeria,0x883271b5ae28be97:0x40589aef2a8b5aec,42.0070493,-80.324849,3.9,88,16:00–21:00,16:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,13:00–21:00,Girard,16417
Fratello's Pizzeria and Italian Kitchen,0x89c59daafdb92727:0x9e0c2188ffe8dccf,41.0520344,-76.2209745,4.7,138,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Closed,Nescopeck,18635
Giovanni's Pizza,0x89c66699ae75fd57:0xe2241fe08169d53f,40.1569,-75.833575,4.4,155,11:00–21:00,Closed,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Elverson,19520
Mannino Italian Garden,0x88325772f6fc074f:0xba1beb5145518fa7,41.63809,-80.15193909999999,4.5,266,Closed,10:30AM–8PM,10:30AM–8PM,10:30AM–8PM,10:30AM–8PM,00:00–20:00,Closed,Meadville,16335
Nino's Italian Restaurant,0x89c676ce72ddd043:0x44d961e7d3418a42,40.346810999999995,-75.959171,4.2,128,Closed,11:00–19:00,11:00–19:00,11:00–19:00,11:00–20:00,16:00–20:00,15:00–19:00,Reading,19610
5 Brother's Pizza,0x89c8c204b63dd975:0xca58f2a4a0a551ba,40.2237,-76.926338,4.3,104,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,11:00–20:00,Camp Hill,17011
Frank's Pizza,0x89c67a1c8f26f473:0x40ee89f838cc1f47,40.3268786,-75.8859818,4.4,172,Closed,Closed,16:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,Reading,19606
Carmen's Italian Restaurant & Bar,0x89c6c32f9b36c5df:0xfcf67cb4259e7010,39.883981899999995,-75.3353644,4.4,45,Closed,15:00–21:00,15:00–22:00,15:00–22:00,15:00–23:00,15:00–22:00,15:00–22:00,Folsom,19033
Brothers Pizzeria,0x89c485c3750bef33:0xc93b293e915bc591,41.0423526,-75.1265351,4.7,255,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,00:00–21:00,East Stroudsburg,18301
Pasquale Pizza,0x89c6436b5597d181:0xd76663233bc280a8,40.0360602,-75.9287985,4.2,68,Closed,16:00–22:00,16:00–22:00,16:00–22:00,16:00–22:00,11:00–22:00,15:00–22:00,Honey Brook,19344
Carini's Italian Restaurant,0x89c67791fe2a90b1:0x3fd1dfd556ad12b6,40.3900903,-75.9115894,4.4,107,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,00:00–21:00,Reading,19605
Casa' Doria Pizza,0x89c89cbc29271307:0x961a9af97b839c35,40.0255632,-76.5318021,4.6,154,Closed,11:00–23:00,11:00–23:00,11:00–23:00,11:00–00:00,11:00–00:00,00:00–23:00,Wrightsville,17368
Bob's Pizza and Chicken,0x89c6c114d0fca1a9:0x9db048a361859854,39.954117,-75.274096,3.6,58,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,Upper Darby,19082
Original Italian Pizza,0x89cef8e4517a2a65:0x9ace540ecd31b4d3,41.184663799999996,-77.3187482,4.3,78,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Closed,Avis,17721
Palermo's Pizza,0x89c690031abc07e3:0x617269b8f2694d8a,40.1982473,-75.523894,3.9,98,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,11:00–22:00,Royersford,19468
Ristorante Aroma,0x89c6c6241f3c7b9f:0x930caac2a2cf27de,39.944876199999996,-75.1607628,4.7,188,Closed,17:00–22:00,17:00–22:00,17:00–22:00,17:00–23:00,17:00–23:00,17:00–22:00,Philadelphia,19107
Mia Madre Trattoria,0x8834f58a882e4c7b:0x36b2115dd637495c,40.5011754,-80.067173,4.5,138,Closed,4–8:30PM,4–8:30PM,4–8:30PM,16:00–21:00,16:00–21:00,Closed,Avalon,15202
Pizza Joe's,0x88338f230b05d9c3:0x9cd3ac009595d7ab,40.963380199999996,-80.3086031,4.4,118,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,New Castle,16101
3 C's Pizza,0x88336ff4bb054743:0xaf1f10d23ff37f0e,41.003133,-79.89684199999999,3.8,66,15:00–21:00,15:00–21:00,15:00–21:00,15:00–21:00,15:00–22:00,15:00–22:00,15:00–21:00,West Sunbury,16061
Bandbox Pizza,0x89c1511f12793893:0xa2c66a57d01c8ffb,40.1750642,-74.83094369999999,4.3,58,00:00–21:00,00:00–21:00,00:00–21:00,00:00–21:00,00:00–22:00,00:00–22:00,00:00–20:00,Levittown,19054
Gangi Pizza,0x89c4dbd52037448b:0x6d9ea9a5f70c372a,41.446524,-75.61807499999999,4.5,93,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,Closed,Throop,18512
Nonno Alby's Brick-oven Pizza,0x89c6712bf4848edd:0x8f48c07d018d76e3,40.336048,-75.95182299999999,4.6,398,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11AM–9:30PM,11AM–9:30PM,11:00–21:00,West Reading,19611
Ravaila's Restaurant,0x89cb3642f6fe17cb:0xdf3d7d8d65dd58d4,40.4305685,-79.2659036,4.6,306,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,Closed,Blairsville,15717
Pizza Palace,0x89c61a00cab3f541:0x14c8a573096a0f0d,40.223558,-76.27275,4.5,118,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Lititz,17543
Roseanna's Pizza & Pasta House,0x89c4da7692b18817:0xfb90a4758c387914,41.4633902,-75.61949489999999,4.4,108,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–23:00,10:00–23:00,10:00–21:00,Dickson City,18519
Tony's Pizza City,0x89c6b9880937bdb3:0x99830417aa326f9c,40.0823044,-75.1893068,4.5,121,Closed,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,Closed,Wyndmoor,19038
Mountain Side Pizza,0x89c441d80ad8c005:0xe8dff6448d2d15ec,40.7730524,-75.4202181,4.5,58,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,Bath,18014
Tre Sazón Kitchen & Bar,0x89c4b1f3873db30d:0x70165a71daf1a15,41.4628521,-75.200165,4.5,105,00:00–21:00,Closed,00:00–21:00,00:00–21:00,00:00–21:00,00:00–21:00,00:00–21:00,Hawley,18428
Sorrento's Pizza,0x89c6b77f463fd1dd:0x352c0b458d455d3c,40.038781,-75.149469,3.6,183,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–00:00,10:00–00:00,11:00–23:00,Philadelphia,19141
Pizza Roma Of Pine,0x88348f338ac272b1:0x7404b332a9c11a52,40.6611111,-80.0047222,4.4,127,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,00:00–21:00,Gibsonia,15044
Rocco's Italian Sausage & Cheese Steaks,0x89c6c8b01c555553:0xa786c153c64c9344,39.925657199999996,-75.1427373,4.8,94,07:00–21:00,07:00–21:00,07:00–21:00,07:00–21:00,07:00–21:00,07:00–21:00,09:00–18:00,Philadelphia,19148
Linden Italian Market,0x89c6b483688938cd:0xf3fd9cf0443bdb5d,40.0545478,-75.004327,4.5,186,07:00–19:00,07:00–19:00,07:00–19:00,07:00–19:00,07:00–19:00,8:30AM–6PM,09:00–16:00,Philadelphia,19114
Arelis Italian Restaurante,0x89c43ea1dfe01c2f:0xdbeec8601adce6bb,40.5950565,-75.411279,4.4,178,11:00–20:00,Closed,11:00–20:00,11:00–20:00,10:30AM–8:30PM,11AM–8:30PM,00:00–20:00,Bethlehem,18015
Mm Mm Pizza of Canonsburg,0x88345483d765dae7:0x67dc91860c210997,40.252583,-80.183939,4.1,108,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–01:00,11:00–01:00,11:00–23:00,Canonsburg,15317
Big Guys Pizza,0x883457ef68e401d5:0xa9bc0781b61adc0a,40.359646999999995,-80.11020099999999,4.1,154,10:30AM–11PM,10:30AM–11PM,10:30AM–11PM,10:30AM–11PM,10:30AM–12AM,10:30AM–12AM,10:30AM–11PM,Bridgeville,15017
Palermo's Pizza,0x89c68e047094b2fd:0xd3b420876dcc8df6,40.1325,-75.5333333,4.1,145,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,11:00–22:00,Phoenixville,19460
Sole Mio Italian Grille,0x89c46cf85d78592b:0x45fdaea66f30f243,40.6832217,-75.21084859999999,4.1,247,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,00:00–20:00,Easton,18042
Caruso's Italian Restaurant,0x89c617ebd3c62dcd:0x1bd766eabebe1791,40.1513043,-76.250847,4.6,318,Closed,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,Lititz,17543
Celebre's Pizzeria,0x89c6c5e7ca489be3:0x1b94d4ac7d63608f,39.9113159,-75.1753524,4.4,198,11:00–20:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Philadelphia,19145
Domenic's Pizza,0x89c6b287007546d1:0x8f4969bcb842e9a,40.1327576,-75.0119661,4.2,155,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,12:30–8:45PM,Philadelphia,19116
Graziano's Pizzeria & Grill,0x89c61f40a1ddde27:0xe8999baa852b2a5c,40.1722495,-76.3848111,4.6,147,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11:00–22:00,11:00–22:00,Closed,Manheim,17545
Classic Pizza,0x89c6b7d19122cfc3:0x5e36c1a9db6e424,40.0012894,-75.1147082,4.1,167,14:00–23:00,14:00–23:00,14:00–23:00,14:00–23:00,14:00–00:00,14:00–00:00,14:00–23:00,Philadelphia,19134
Lucas Pizza,0x89c6a01838d98011:0x9c8ce8e3b1d51c8b,40.323360099999995,-75.33075939999999,4.3,218,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,11AM–9:30PM,Telford,18969
Illianos Pizza Restaurant,0x89c6b265af0e9719:0xc38c893c712cb216,40.1289466,-75.0237865,3.9,138,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Philadelphia,19116
Marcello's Pizza,0x89c88ea5db7da0d9:0x6b01c07189aa6690,39.962115999999995,-76.727362,4.3,418,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–10:30PM,11AM–10:30PM,12–9:30PM,York,17401
Anza's Pizza,0x89c88ebef3679081:0xf230db7278976397,39.966485899999995,-76.7149604,3.5,243,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–01:00,11:00–01:00,Closed,York,17403
Nino's Pizza,0x89c88f3a4a888ecf:0x67cdf99730f1513a,39.956393999999996,-76.679698,4.3,98,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,00:00–21:00,York,17402
Via Roma Pizza,0x89c8c1485c2f48c9:0xf409fcf49a27e7e4,40.283863,-76.89770399999999,4.0,125,10:00–21:00,Closed,10:00–21:00,10:00–21:00,10:00–22:00,00:00–22:00,00:00–21:00,Harrisburg,17110
Pizza Chef Italian restaurant,0x89c46b407f48fd6b:0xea95a518f77d74cc,40.67032,-75.271075,4.3,123,10AM–9:30PM,Closed,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10:00–21:00,Easton,18045
Morrone's Cafe,0x89cfa89f27f4d893:0xcdf78e5ca6cb138a,41.2399656,-77.0157546,4.5,128,Closed,4:30–9:30PM,4:30–9:30PM,4:30–9:30PM,4:30–9:30PM,4:30–9:30PM,Closed,Williamsport,17701
Isabella Pizza,0x89c6c60f8302f4c5:0x35503f7bbcdd4c67,39.927175,-75.16679599999999,3.3,124,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,Philadelphia,19148
Bettina's Italian Restaurant,0x89cd26ba3a7f4b2f:0xffd69f86fb45476b,41.4710719,-79.12136919999999,4.5,318,Closed,10:30AM–8PM,10:30AM–8PM,10:30AM–8PM,10:30AM–9PM,10:30AM–9PM,Closed,Marienville,16239
The Italian American Progressive Club,0x89cd802e33e1ebef:0x95ba19cb6ddc60e,41.9554111,-78.6467973,4.3,48,10:00–02:00,10:00–02:00,10:00–02:00,10:00–02:00,10:00–02:00,08:00–02:00,07:00–02:00,Bradford,16701
Pizza Plaza,0x89c6af9693a00c65:0xc013fefa70a42395,40.182207999999996,-75.135468,4.1,88,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,00:00–20:00,Horsham,19044
Bella Rosa Italian Eatery,0x89c6585f5de92319:0x7e6621df48d32bcc,39.952304999999996,-75.742171,4.3,167,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10AM–9:30PM,10AM–10:30PM,10AM–10:30PM,11AM–9:30PM,West Bradford Township,19320
Rostas Cafe,0x89c5a40a64935a91:0x55d9908752df10f9,40.9652357,-75.9930826,4.6,338,11:00–22:00,Closed,11:00–22:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–22:00,Hazleton,18201
Arcaro's Pizza,0x89c4d920c2c2815f:0x959afc24cfc19c0d,41.395719299999996,-75.68966979999999,4.4,288,15:00–21:00,Closed,15:00–21:00,15:00–21:00,15:00–21:00,15:00–21:00,15:00–21:00,Scranton,18504
Primaveras Pizza,0x89c4d922ec3c3111:0x4fca1049b380ba7d,41.4317044,-75.6577727,4.8,148,Closed,Closed,15:00–21:00,15:00–21:00,15:00–22:00,15:00–20:00,00:00–20:00,Scranton,18509
Johnnie's,0x89c6c6087bc82649:0xe8cb78b974aa5829,39.9215563,-75.1667326,4.5,78,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,00:00–20:00,Philadelphia,19148
Sbarro,0x89c6e9da9b4babdf:0xc5f5e07a2db9c74f,39.9153465,-75.3511986,2.9,98,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,11:00–18:00,Springfield,19064
Maria's Pizza and Pasta,0x89c6be81c1a94eaf:0xbe63e088286fff6c,40.095017,-75.290407,4.4,68,Closed,15:00–20:00,11:30AM–8PM,11:30AM–8PM,11:30AM–8PM,11:30AM–8PM,Closed,Conshohocken,19428
Horsham Pizza,0x89c6afbe55bb9ac1:0xd924104f41316a13,40.1821275,-75.1342535,4.4,178,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,Horsham,19044
Frank's Spaghetti House,0x89c6b6a7fc7aa6e5:0x2a30b0446a15cfbe,40.056183999999995,-75.061858,4.0,208,Closed,15:00–22:00,15:00–22:00,15:00–22:00,15:00–22:00,15:00–22:00,15:00–20:00,Philadelphia,19152
Aleco's Café & Restaurant,0x89c8c1117476d157:0x5889e7c28ee3a2d0,40.265560199999996,-76.88620949999999,4.4,218,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–12AM,11:00–00:00,11:00–21:00,Harrisburg,17102
George's Famous Pizza,0x89c6b6f553ce44ed:0x9357d26ecc5ad964,40.029759999999996,-75.084919,4.2,148,16:00–22:00,16:00–22:00,16:00–22:00,13:00–22:00,13:00–22:00,14:00–22:00,14:00–22:00,Philadelphia,19124
Franks Pizza,0x89c6bd10782c3745:0x7e23796530e1d6bf,40.150554,-75.304789,4.3,138,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10AM–10:30PM,10AM–10:30PM,11AM–9:30PM,Blue Bell,19422
Penn Murry Bar & Kitchen,0x8834c153e79af3bf:0x24c469eee218a55e,40.419546499999996,-79.6524458,4.5,278,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,11:00–00:00,Export,15632
Stefano's Sicilian Grille,0x89c4473393f745eb:0x4c931b8c1eae9eaf,40.700171,-75.43859499999999,4.4,136,16:00–21:00,16:00–22:00,16:00–22:00,16:00–22:00,14:00–23:00,14:00–23:00,00:00–21:00,Northampton,18067
Giannotti's Ristorante,0x89c5d3e732ce92a9:0xc568e8c1f6d0e101,40.4993189,-75.8013722,4.4,197,Closed,Closed,00:00–20:00,00:00–20:00,00:00–21:00,00:00–21:00,Closed,Kutztown,19530
Lascala's,0x89c6c6319a947a7d:0x78311a4f3a9060d0,39.9545639,-75.1684674,3.5,28,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–21:00,Philadelphia,19103
Cuginos,0x89c4d95afbf87c35:0x381ea0a9cdf97018,41.4219017,-75.6300354,4.9,57,07:00–14:00,07:00–14:00,07:00–14:00,07:00–14:00,07:00–11:00,07:00–13:00,07:00–13:00,Dunmore,18512
Double Decker Pizza,0x89c6fac4f40ba7c7:0x4307aae94531ae83,39.8504934,-75.5390711,4.0,145,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,10:00–23:00,10:00–23:00,00:00–21:00,Chadds Ford,19317
Bertucci's Italian Restaurant,0x89c694c47583f73f:0x65474e612a18d98b,40.045554599999996,-75.403381,4.2,378,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11:00–22:00,11:00–22:00,11:00–22:00,11AM–9:30PM,Wayne,19087
Franks Pizza,0x89c6af6d1b039fef:0xb4f45849e1360d56,40.20064,-75.119041,4.2,138,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,11:00–22:00,Hatboro,19040
Little John's Pizza,0x89c43977efbdc86d:0x532c67a975b459c5,40.610982,-75.480291,4.0,208,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,Closed,Allentown,18102
Michaels Restaurant & Lounge,0x89c150d415f9de3b:0xfc01583221689c97,40.1966015,-74.80995899999999,4.2,208,16:00–22:00,16:00–22:00,16:00–22:00,16:00–22:00,16:00–00:00,16:00–00:00,Closed,Morrisville,19067
Come a Casa,0x89c85b183ea6988d:0x3fd4ef13100d7bf1,39.7553359,-76.9539183,4.5,217,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–9PM,10:30AM–10PM,10:30AM–10PM,11:00–21:00,Hanover,17331
Buon Appetito Ristorante,0x89c85edf18156425:0x72d04641565179b2,39.8463889,-76.8997222,4.5,177,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Spring Grove,17362
Nicoletta's Family Restaurant,0x89cb9196c7bf2725:0x6d44e1b56a581b63,40.509008,-78.402176,4.3,278,07:00–15:00,07:00–15:00,07:00–15:00,07:00–15:00,07:00–15:00,07:00–15:00,07:00–15:00,Altoona,16602
Emilianos Pizza 2,0x89c6aefb7d6ef699:0x48c535023cf31c05,40.199905799999996,-75.101933,4.1,104,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Warminster,18974
Pizza Phi,0x89cf13b18e6a9473:0x23103988ffa13d21,40.9642829,-76.8853912,4.3,125,Closed,11:00–13:00,11:00–13:00,11:00–13:00,11:00–21:00,11:00–21:00,15:00–20:00,Lewisburg,17837
Sbarro,0x89ca525927bec665:0x45ffad2cb434f795,40.0300333,-78.4931639,2.8,45,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,Bedford,15522
Roma Pizza,0x89c6af4957c78709:0x41cbe058828c48ff,40.2294944,-75.1311187,4.4,107,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,Warrington,18976
Domenick's,0x89c4cdbfeb04aecf:0xa512e821a550aebd,41.571222899999995,-75.5030281,3.8,245,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–00:00,11:00–00:00,11:00–23:00,Carbondale,18407
Dominick's,0x89c157422864ec87:0xc64e5c3f40a22110,40.209614599999995,-74.7988439,4.3,96,Closed,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,11:00–23:00,00:00–22:00,Morrisville,19067
Vinnie's II,0x89cfe14cecc9e7e9:0x6e3530d842417845,41.785998,-76.7878592,4.1,16,Closed,4:30–9PM,4:30–9PM,4:30–9PM,4:30–9PM,4:30–9PM,Closed,Troy,16947
Lupi's Pizza,0x89c6e5d2aad4d0d9:0xf8ee07e99a6427e3,39.833706,-75.44285099999999,4.3,234,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–21:00,Boothwyn,19061
Ricci's Italian Sausage,0x883458d633add927:0xf491f4b2bd61ed0b,40.475231099999995,-80.0987751,4.7,153,8:30AM–5PM,8:30AM–5PM,8:30AM–5PM,8:30AM–5PM,8:30AM–5PM,09:00–16:00,Closed,McKees Rocks,15136
Sebastiano's Italian Restaurant And Pizzeria,0x89c67a228b04301f:0xfbaaceb06179411a,40.3229359,-75.8756349,4.6,306,Closed,10:30AM–8:30PM,10:30AM–8:30PM,10:30AM–8:30PM,10:30AM–8:30PM,10:30AM–8:30PM,11:30AM–8:30PM,Reading,19606
Sophia's Italian Restaurant & pizzeria,0x89c67a20ef7b63ef:0x3b172431249cb949,40.328343499999995,-75.8725245,4.3,194,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,00:00–21:00,Reading,19606
Pizza Joe's,0x8832d40c3929302f:0x2314d602e0b22944,41.505161699999995,-79.4535123,4.4,184,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,11:00–20:00,Tionesta,16353
Parente's Italian Food Center,0x89c51f3ef2aad83d:0xd037195fb12618b,41.327875299999995,-75.7885077,4.5,28,09:00–17:00,09:00–17:00,Closed,Closed,Closed,09:00–17:00,09:00–17:00,Pittston,18640
